@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 {0,1,2}

@data
385,'2017/02/18 17:15:26:012',2,790.549438,844.139221,842.527466,829.633728,813.919434,1
386,'2017/02/18 17:15:26:013',2,826.410278,849.377319,843.736267,876.77655,824.39563,1
387,'2017/02/18 17:15:26:014',2,775.238098,856.227112,844.139221,886.849792,814.322327,1
388,'2017/02/18 17:15:26:014',2,796.996338,851.794861,841.721619,856.630066,815.128235,1
389,'2017/02/18 17:15:26:015',2,782.490845,842.527466,839.304016,836.080566,841.721619,1
390,'2017/02/18 17:15:26:016',2,838.498169,853.003662,836.483521,885.238098,890.476196,1
391,'2017/02/18 17:15:26:017',2,791.355286,850.58606,835.274719,849.377319,827.619019,1
392,'2017/02/18 17:15:26:018',2,796.996338,849.377319,836.483521,840.915771,826.813171,1
393,'2017/02/18 17:15:26:019',2,824.798523,853.809509,840.109863,862.271057,860.256409,1
394,'2017/02/18 17:15:26:020',2,784.908447,846.556763,836.886475,795.787537,853.406616,1
395,'2017/02/18 17:15:26:020',2,758.717957,851.391968,836.886475,758.717957,847.36261,1
396,'2017/02/18 17:15:26:022',2,790.952393,854.615356,834.065918,815.531128,844.139221,1
397,'2017/02/18 17:15:26:023',2,810.29303,857.032959,834.468872,866.703308,840.915771,1
398,'2017/02/18 17:15:26:023',2,788.937744,854.212463,833.663025,783.699646,840.109863,1
399,'2017/02/18 17:15:26:024',2,760.329651,837.289368,838.498169,814.725281,855.018311,1
400,'2017/02/18 17:15:26:025',2,844.139221,839.304016,831.245422,859.450562,824.798523,1
401,'2017/02/18 17:15:26:029',2,782.893799,856.227112,830.439575,841.721619,822.380981,1
402,'2017/02/18 17:15:26:030',2,774.835144,869.523804,821.17218,836.483521,891.282043,1
403,'2017/02/18 17:15:26:031',2,865.897461,844.945068,836.886475,879.194153,842.124512,1
404,'2017/02/18 17:15:26:032',2,853.003662,846.959717,834.871765,825.201477,826.410278,1
405,'2017/02/18 17:15:26:032',2,921.501831,847.765564,824.798523,808.278381,857.032959,1
406,'2017/02/18 17:15:26:033',2,935.201477,852.600708,823.186829,819.560425,813.113525,1
407,'2017/02/18 17:15:26:037',2,837.289368,871.538452,819.963379,859.853455,801.831482,1
408,'2017/02/18 17:15:26:041',2,969.853455,847.36261,818.351624,809.487183,871.941406,1
409,'2017/02/18 17:15:26:043',2,915.457886,853.809509,821.575073,840.915771,858.24176,1
410,'2017/02/18 17:15:26:048',2,972.271057,806.263733,838.095215,863.882813,857.032959,1
411,'2017/02/18 17:15:26:049',2,934.798523,854.212463,824.39563,799.010986,832.454224,1
412,'2017/02/18 17:15:26:050',2,995.238098,850.58606,825.60437,749.047607,781.684998,1
